2 2 0 1.5251 -1.1568 0.1292 0.7000 1.4187 -0.4990
2 2 1 1.3673 -1.0260 0.1628 0.1000 0.5436 -0.4731
2 2 2 1.3223 -1.0257 0.1860 -0.1000 0.4206 -0.4256

2 1 0 0.6000 -0.2339 0.4175 -0.3000 2.3561 -0.2277
2 1 1 0.5800 -0.2416 0.4708 -0.3300 0.9501 -0.2072
2 1 2 0.5660 -0.2740 0.4960 -0.1000 0.4173 -0.2774

2 0 0 0.4437 -0.0739 0.3350 4.0000 -1.9550 0.1420
2 0 1 0.4185 -0.0768 0.4355 1.2500 -0.6359 0.1614
2 0 2 0.3734 -0.0794 0.6306 0.5600 -0.2589 0.3034

2 -1 0 0.3441 0.0293 2.0010 2.0000 0.1078 5.0069
2 -1 1 0.3165 0.0301 2.3415 0.6100 0.0276 13.1683
2 -1 2 0.2696 0.0315 2.7755 0.2900 0.0276 6.4715

2 -2 0 0.2938 0.0782 1.3546 1.6700 0.4192 1.4700
2 -2 1 0.2528 0.0921 1.3344 0.4550 0.1729 1.3617
2 -2 2 0.1873 0.1117 1.3322 0.1850 0.1266 1.3661

3 3 0 1.8956 -1.3043 0.1818 0.9000 2.3430 -0.4810
3 3 1 1.8566 -1.2818 0.1934 0.2274 0.8173 -0.4731
3 3 2 1.8004 -1.2558 0.2133 0.0400 0.5445 -0.4539

3 2 0 1.1481 -0.5552 0.3002 0.8313 2.3773 -0.3655
3 2 1 1.1226 -0.5471 0.3264 0.2300 0.8025 -0.3684
3 2 2 1.0989 -0.5550 0.3569 0.1000 0.4804 -0.3784

3 1 0 0.8345 -0.2405 0.4095 23.8450 -20.724 0.03837
3 1 1 0.8105 -0.2342 0.4660 8.8530 -7.8506 0.03418
3 1 2 0.7684 -0.2252 0.5805 2.1800 -1.6273 0.1136

3 0 0 0.6873 -0.09282 0.3479 6.7841 -3.6112 0.09480
3 0 1 0.6687 -0.09155 0.4021 2.0075 -0.9930 0.12297
3 0 2 0.6343 -0.08915 0.5117 0.9000 -0.3409 0.2679

3 -1 0 0.5751 0.02508 3.1360 3.0464 0.1162 -0.2812
3 -1 1 0.5584 0.02514 3.4154 1.2000 -0.1928 0.1037
3 -1 2 0.5271 0.02561 3.8011 1.0000 -0.4424 0.02467

3 -2 0 0.5158 0.08195 1.4084 2.9000 0.3356 2.3050
3 -2 1 0.4951 0.08577 1.4269 0.9000 0.1295 1.6142
3 -2 2 0.4567 0.09300 1.4469 0.4900 0.0848 1.9737

3 -3 0 0.4673 0.1296 1.3255 2.5500 0.6576 1.3378
3 -3 1 0.4413 0.1387 1.3178 0.7900 0.2381 1.3706
3 -3 2 0.3933 0.1555 1.3037 0.4070 0.1637 1.3819

4 4 0 2.3000 -1.5056 0.2244 1.1929 3.1191 -0.4825
4 4 1 2.3000 -1.5173 0.2271 0.3000 1.1034 -0.4703
4 4 2 2.3000 -1.5397 0.2321 0.1100 0.6997 -0.4607

4 3 0 1.6869 -0.8862 0.2822 1.4812 2.8096 -0.4271
4 3 1 1.6722 -0.8843 0.2923 0.4451 0.9569 -0.4250
4 3 2 1.6526 -0.8888 0.3081 0.2200 0.5904 -0.4236

4 2 0 1.2702 -0.4685 0.3835 -3.6000 7.7749 -0.1491
4 2 1 1.2462 -0.4580 0.4139 -1.5000 2.8601 -0.1392
4 2 2 1.2025 -0.4401 0.4769 -1.5000 2.2784 -0.1124

4 1 0 1.0507 -0.2478 0.4348 14.0000 -9.8240 0.09047
4 1 1 1.0337 -0.2439 0.4695 4.2000  -2.8399 0.1081
4 1 2 1.0019 -0.2374 0.5397 2.2000  -1.4195 0.1372

4 0 0 0.9175 -0.1144 0.3511 7.0000 -2.7934 0.1708
4 0 1 0.9028 -0.1127 0.3843 2.2000 -0.8308 0.2023
4 0 2 0.8751 -0.1096 0.4516 1.2000 -0.4159 0.2687

4 -1 0 0.7908 0.02024 5.4628 4.6000 -0.4038 0.4629
4 -1 1 0.7785 0.02005 5.8547 1.6000 -0.2323 0.2306
4 -1 2 0.7549 0.01985 6.5272 1.6000 -0.8136 0.03163

4 -2 0 0.7294 0.07842 1.5646 4.0000 0.2777 2.0647
4 -2 1 0.7154 0.07979 1.5852 1.3200 0.08694 4.3255
4 -2 2 0.6885 0.08259 1.6136 0.7500 0.05803 3.7971

4 -3 0 0.6728 0.1338 1.3413 3.700 0.5829 1.6681
4 -3 1 0.6562 0.1377 1.3456 1.1800 0.2111 1.4129
4 -3 2 0.6244 0.1454 1.3513 0.6600 0.1385 1.3742

4 -4 0 0.6256 0.1800 1.3218 3.4000 0.8696 1.4074
4 -4 1 0.6061 0.1869 1.3168 1.0800 0.3095 1.3279
4 -4 2 0.5686 0.2003 1.3068 0.5980 0.2015 1.3765




