# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is Merged Instrumental + White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
1.074537e-05    1.359450e-15
1.099573e-05    1.298247e-15
1.125194e-05    1.239799e-15
1.151411e-05    1.183983e-15
1.178238e-05    1.130679e-15
1.205691e-05    1.079776e-15
1.233784e-05    1.031164e-15
1.262531e-05    9.847401e-16
1.291948e-05    9.404065e-16
1.322051e-05    8.980689e-16
1.352854e-05    8.576374e-16
1.384376e-05    8.190262e-16
1.416632e-05    7.821532e-16
1.449639e-05    7.469404e-16
1.483416e-05    7.133126e-16
1.517980e-05    6.811989e-16
1.553348e-05    6.505311e-16
1.589541e-05    6.212439e-16
1.626578e-05    5.932752e-16
1.664477e-05    5.665655e-16
1.703259e-05    5.410585e-16
1.742945e-05    5.166998e-16
1.783556e-05    4.934377e-16
1.825113e-05    4.712229e-16
1.867638e-05    4.500082e-16
1.911155e-05    4.298258e-16
1.955685e-05    4.101898e-16
2.001251e-05    3.921050e-16
2.047880e-05    3.743645e-16
2.095596e-05    3.575259e-16
2.144424e-05    3.413308e-16
2.194387e-05    3.259805e-16
2.245517e-05    3.114245e-16
2.297838e-05    2.972189e-16
2.351378e-05    2.838599e-16
2.406165e-05    2.712117e-16
2.462228e-05    2.589264e-16
2.519599e-05    2.472612e-16
2.578305e-05    2.361342e-16
2.638380e-05    2.254588e-16
2.699854e-05    2.153595e-16
2.762760e-05    2.056270e-16
2.827133e-05    1.963753e-16
2.893006e-05    1.875182e-16
2.960412e-05    1.791081e-16
3.029390e-05    1.710155e-16
3.099973e-05    1.633423e-16
3.172204e-05    1.559872e-16
3.246116e-05    1.489379e-16
3.321751e-05    1.422554e-16
3.399148e-05    1.358437e-16
3.478347e-05    1.297325e-16
3.559393e-05    1.238898e-16
3.642327e-05    1.183100e-16
3.727194e-05    1.129913e-16
3.814036e-05    1.079063e-16
3.902903e-05    1.030470e-16
3.993841e-05    9.840595e-17
4.086898e-05    9.397523e-17
4.182122e-05    8.974510e-17
4.279566e-05    8.570478e-17
4.379280e-05    8.184773e-17
4.481318e-05    7.816299e-17
4.585732e-05    7.464492e-17
4.692580e-05    7.128412e-17
4.801916e-05    6.807445e-17
4.913800e-05    6.500795e-17
5.028294e-05    6.208181e-17
5.145453e-05    5.928775e-17
5.265342e-05    5.661770e-17
5.388024e-05    5.406862e-17
5.513564e-05    5.163463e-17
5.642030e-05    4.931000e-17
5.773490e-05    4.708949e-17
5.908011e-05    4.497017e-17
6.045668e-05    4.294520e-17
6.186534e-05    4.101202e-17
6.330680e-05    3.916540e-17
6.478183e-05    3.740211e-17
6.629126e-05    3.571849e-17
6.783584e-05    3.411020e-17
6.941641e-05    3.257478e-17
7.103382e-05    3.110826e-17
7.268891e-05    2.970760e-17
7.438256e-05    2.837021e-17
7.611567e-05    2.709302e-17
7.788918e-05    2.587329e-17
7.970398e-05    2.470844e-17
8.156109e-05    2.359604e-17
8.346146e-05    2.253371e-17
8.540612e-05    2.151927e-17
8.739608e-05    2.055043e-17
8.943241e-05    1.962523e-17
9.151618e-05    1.874172e-17
9.364851e-05    1.789795e-17
9.583052e-05    1.709218e-17
9.806338e-05    1.632267e-17
1.003482e-04    1.592602e-17
1.026864e-04    1.523183e-17
1.050790e-04    1.456895e-17
1.075273e-04    1.393333e-17
1.100327e-04    1.332493e-17
1.125964e-04    1.274243e-17
1.152199e-04    1.218503e-17
1.179046e-04    1.165462e-17
1.206517e-04    1.115098e-17
1.234629e-04    1.067053e-17
1.263396e-04    1.021342e-17
1.292833e-04    9.777277e-18
1.322956e-04    9.361144e-18
1.353781e-04    8.964127e-18
1.385324e-04    8.585373e-18
1.417602e-04    8.224343e-18
1.450632e-04    7.881277e-18
1.484432e-04    7.552549e-18
1.519019e-04    7.239314e-18
1.554413e-04    6.942268e-18
1.590630e-04    6.659144e-18
1.627692e-04    6.389313e-18
1.665617e-04    6.132512e-18
1.704426e-04    5.889318e-18
1.744139e-04    5.656277e-18
1.784778e-04    5.436183e-18
1.826363e-04    5.226735e-18
1.868917e-04    5.027452e-18
1.912464e-04    4.837875e-18
1.957023e-04    4.657577e-18
2.002621e-04    4.485726e-18
2.049283e-04    4.320197e-18
2.097031e-04    4.162652e-18
2.145891e-04    4.012715e-18
2.195891e-04    3.870031e-18
2.247055e-04    3.733842e-18
2.299412e-04    3.601568e-18
2.352989e-04    3.473277e-18
2.407814e-04    3.350892e-18
2.463915e-04    3.233698e-18
2.521324e-04    3.119609e-18
2.580071e-04    3.010183e-18
2.640188e-04    2.903384e-18
2.701704e-04    2.801238e-18
2.764653e-04    2.702663e-18
2.829070e-04    2.604397e-18
2.894987e-04    2.511977e-18
2.962440e-04    2.421330e-18
3.031465e-04    2.334865e-18
3.102098e-04    2.254048e-18
3.174378e-04    2.176603e-18
3.248339e-04    2.102378e-18
3.324026e-04    2.030029e-18
3.401477e-04    1.954778e-18
3.480731e-04    1.882562e-18
3.561832e-04    1.813248e-18
3.644823e-04    1.747077e-18
3.729747e-04    1.685690e-18
3.816651e-04    1.628497e-18
3.905577e-04    1.573577e-18
3.996578e-04    1.521173e-18
4.089697e-04    1.472506e-18
4.184987e-04    1.425760e-18
4.282498e-04    1.380848e-18
4.382280e-04    1.338015e-18
4.484387e-04    1.298102e-18
4.588874e-04    1.258499e-18
4.695794e-04    1.221951e-18
4.805206e-04    1.186490e-18
4.917167e-04    1.151185e-18
5.031738e-04    1.118673e-18
5.148976e-04    1.087681e-18
5.268949e-04    1.058981e-18
5.391715e-04    1.029925e-18
5.517341e-04    1.001922e-18
5.645896e-04    9.749246e-19
5.777444e-04    9.486003e-19
5.912059e-04    9.221409e-19
6.049810e-04    8.979151e-19
6.190771e-04    8.742492e-19
6.335016e-04    8.503824e-19
6.482622e-04    8.283061e-19
6.633666e-04    8.057334e-19
6.788231e-04    7.836495e-19
6.946397e-04    7.613602e-19
7.108249e-04    7.407136e-19
7.273870e-04    7.198425e-19
7.443352e-04    7.005194e-19
7.616783e-04    6.807226e-19
7.794252e-04    6.615612e-19
7.975859e-04    6.430104e-19
8.161697e-04    6.250474e-19
8.351864e-04    6.076500e-19
8.546462e-04    5.910078e-19
8.745595e-04    5.756234e-19
8.949368e-04    5.597733e-19
9.157887e-04    5.444102e-19
9.371265e-04    5.297104e-19
9.589617e-04    5.163219e-19
9.813056e-04    5.033240e-19
1.004170e-03    4.907022e-19
1.027567e-03    4.786232e-19
1.051509e-03    4.676863e-19
1.076010e-03    4.570485e-19
1.101081e-03    4.466988e-19
1.126736e-03    4.366266e-19
1.152989e-03    4.269877e-19
1.179853e-03    4.183305e-19
1.207344e-03    4.098910e-19
1.235475e-03    4.016613e-19
1.264262e-03    3.934776e-19
1.293719e-03    3.849662e-19
1.323863e-03    3.771845e-19
1.354709e-03    3.687844e-19
1.386273e-03    3.598071e-19
1.418573e-03    3.501563e-19
1.451626e-03    3.390102e-19
1.485449e-03    3.250921e-19
1.520060e-03    3.071709e-19
1.555477e-03    2.840822e-19
1.591720e-03    2.575675e-19
1.628807e-03    2.289084e-19
1.666758e-03    2.006673e-19
1.705594e-03    1.740817e-19
1.745334e-03    1.503765e-19
1.786000e-03    1.305523e-19
1.827614e-03    1.141567e-19
1.870198e-03    1.007238e-19
1.913773e-03    8.968912e-20
1.958364e-03    8.023070e-20
2.003994e-03    7.212470e-20
2.050688e-03    6.521647e-20
2.098468e-03    5.922981e-20
2.147363e-03    5.402380e-20
2.197395e-03    4.949249e-20
2.248596e-03    4.558560e-20
2.300987e-03    4.223244e-20
2.354600e-03    3.932989e-20
2.409463e-03    3.680426e-20
2.465604e-03    3.459750e-20
2.523051e-03    3.259400e-20
2.581840e-03    3.080741e-20
2.641995e-03    2.918605e-20
2.703555e-03    2.771384e-20
2.766546e-03    2.638645e-20
2.831007e-03    2.516228e-20
2.896970e-03    2.400809e-20
2.964469e-03    2.294530e-20
3.033541e-03    2.195524e-20
3.104224e-03    2.104582e-20
3.176552e-03    2.021703e-20
3.250565e-03    1.946996e-20
3.326303e-03    1.869646e-20
3.403807e-03    1.778128e-20
3.483114e-03    1.677653e-20
3.564271e-03    1.589157e-20
3.647319e-03    1.519599e-20
3.732301e-03    1.462582e-20
3.819263e-03    1.409996e-20
3.908253e-03    1.360853e-20
3.999315e-03    1.314626e-20
4.092499e-03    1.270149e-20
4.187855e-03    1.228364e-20
4.285431e-03    1.188177e-20
4.385282e-03    1.150476e-20
4.487460e-03    1.114231e-20
4.592017e-03    1.080428e-20
4.699012e-03    1.048369e-20
4.808499e-03    1.018119e-20
4.920536e-03    9.898626e-21
5.035185e-03    9.625860e-21
5.152505e-03    9.369040e-21
5.272558e-03    9.129818e-21
5.395408e-03    8.900198e-21
5.521122e-03    8.686750e-21
5.649763e-03    8.480880e-21
5.781403e-03    8.287840e-21
5.916109e-03    8.108992e-21
6.053955e-03    7.936618e-21
6.195011e-03    7.775450e-21
6.339356e-03    7.626677e-21
6.487064e-03    7.483422e-21
6.638212e-03    7.349041e-21
6.792882e-03    7.223945e-21
6.951155e-03    7.108318e-21
7.113118e-03    6.995013e-21
7.278853e-03    6.892078e-21
7.448452e-03    6.795370e-21
7.622001e-03    6.703421e-21
7.799592e-03    6.620404e-21
7.981323e-03    6.542719e-21
8.167287e-03    6.468534e-21
8.357586e-03    6.399984e-21
8.552317e-03    6.336786e-21
8.751586e-03    6.278671e-21
8.955498e-03    6.225380e-21
9.164160e-03    6.176674e-21
9.377686e-03    6.132322e-21
9.596187e-03    6.093688e-21
9.819778e-03    5.659080e-21
1.004858e-02    5.650019e-21
1.028271e-02    5.643326e-21
1.052230e-02    5.638883e-21
1.076747e-02    5.636586e-21
1.101835e-02    5.636344e-21
1.127508e-02    5.638077e-21
1.153779e-02    5.641718e-21
1.180662e-02    5.647208e-21
1.208171e-02    5.654501e-21
1.236321e-02    5.663561e-21
1.265128e-02    5.674361e-21
1.294605e-02    5.686884e-21
1.324770e-02    5.701121e-21
1.355636e-02    5.717074e-21
1.387223e-02    5.734751e-21
1.419545e-02    5.754173e-21
1.452621e-02    5.775366e-21
1.486467e-02    5.798366e-21
1.521101e-02    5.823219e-21
1.556543e-02    5.849979e-21
1.592811e-02    5.878709e-21
1.629923e-02    5.909482e-21
1.667900e-02    5.942381e-21
1.706762e-02    5.977499e-21
1.746530e-02    6.014941e-21
1.787224e-02    6.054822e-21
1.828866e-02    6.097270e-21
1.871479e-02    6.142428e-21
1.915084e-02    6.190450e-21
1.959706e-02    6.241506e-21
2.005368e-02    6.295785e-21
2.052093e-02    6.353491e-21
2.099905e-02    6.414849e-21
2.148833e-02    6.480106e-21
2.198901e-02    6.549530e-21
2.250136e-02    6.623418e-21
2.302563e-02    6.702095e-21
2.356214e-02    6.785916e-21
2.411113e-02    6.875274e-21
2.467293e-02    6.970599e-21
2.524780e-02    7.072365e-21
2.583607e-02    7.181097e-21
2.643806e-02    7.297371e-21
2.705406e-02    7.421827e-21
2.768443e-02    7.555175e-21
2.832946e-02    7.698197e-21
2.898955e-02    7.851770e-21
2.966500e-02    8.016862e-21
3.035619e-02    8.194555e-21
3.106350e-02    8.386057e-21
3.178727e-02    8.592712e-21
3.252792e-02    8.816028e-21
3.328582e-02    9.057684e-21
3.406137e-02    9.319559e-21
3.485502e-02    9.603757e-21
3.566714e-02    9.912616e-21
3.649818e-02    1.024873e-20
3.734858e-02    1.061499e-20
3.821880e-02    1.101454e-20
3.910930e-02    1.145081e-20
4.002055e-02    1.192746e-20
4.095303e-02    1.244830e-20
4.190724e-02    1.301710e-20
4.288367e-02    1.363740e-20
4.388286e-02    1.431199e-20
4.490534e-02    1.504235e-20
4.595162e-02    1.582763e-20
4.702229e-02    1.666337e-20
4.811793e-02    1.753973e-20
4.923906e-02    1.843955e-20
5.038634e-02    1.933644e-20
5.156034e-02    2.019374e-20
5.276169e-02    2.096552e-20
5.399105e-02    2.160083e-20
5.524903e-02    2.205152e-20
5.653634e-02    2.228231e-20
5.785363e-02    2.227959e-20
5.920163e-02    2.205507e-20
6.058103e-02    2.164259e-20
6.199256e-02    2.108963e-20
6.343698e-02    2.044747e-20
6.491507e-02    1.976333e-20
6.642758e-02    1.907598e-20
6.797535e-02    1.841458e-20
6.955917e-02    1.779949e-20
7.117990e-02    1.724403e-20
7.283840e-02    1.675639e-20
7.453553e-02    1.634141e-20
7.627220e-02    1.600184e-20
7.804936e-02    1.573948e-20
7.986791e-02    1.555592e-20
8.172883e-02    1.545306e-20
8.363311e-02    1.543364e-20
8.558177e-02    1.550151e-20
8.757581e-02    1.566201e-20
8.961632e-02    1.592221e-20
9.170440e-02    1.629113e-20
9.384110e-02    1.677996e-20
9.602760e-02    1.740194e-20
9.826505e-02    1.817195e-20
1.005546e-01    1.910519e-20
1.028976e-01    2.021432e-20
1.052951e-01    2.150387e-20
1.077484e-01    2.296053e-20
1.102590e-01    2.453853e-20
1.128280e-01    2.614252e-20
1.154569e-01    2.761835e-20
1.181470e-01    2.877157e-20
1.208999e-01    2.942796e-20
1.237168e-01    2.951444e-20
1.265994e-01    2.909975e-20
1.295492e-01    2.835885e-20
1.325677e-01    2.749582e-20
1.356565e-01    2.668455e-20
1.388173e-01    2.604940e-20
1.420518e-01    2.567320e-20
1.453616e-01    2.561430e-20
1.487485e-01    2.592268e-20
1.522143e-01    2.665200e-20
1.557609e-01    2.786684e-20
1.593902e-01    2.964278e-20
1.631039e-01    3.205074e-20
1.669043e-01    3.510482e-20
1.707931e-01    3.863979e-20
1.747726e-01    4.211889e-20
1.788448e-01    4.457569e-20
1.830119e-01    4.511847e-20
1.872761e-01    4.376882e-20
1.916396e-01    4.144623e-20
1.960674e-01    3.916299e-20
2.005975e-01    3.749502e-20
2.052324e-01    3.671984e-20
2.099743e-01    3.698116e-20
2.148256e-01    3.840871e-20
2.197892e-01    4.115653e-20
2.248674e-01    4.532703e-20
2.300630e-01    5.064476e-20
2.353785e-01    5.577215e-20
2.408169e-01    5.818310e-20
